param n_x := 3; # Number of variables
param n_y := 3; # Number of variables
param m := 6; # Number of inequality constraints

set N_x := 1 2 3;
set N_y := 4 5 6;
set M := 1 2 3 4 5 6;

# Objective function coefficients
param c :=
1 20
2 30
3 40
4 100000
5 60000
6 40000
;

# Right-hand side inequality constraint
param b :=
1 80000
2 50000
3 0
4 0
5 0
6 1
;

# Inequality constraint coefficients
param a:=
1 1 0.4
1 2 0.25
1 3 0.25
1 4 0
1 5 0
1 6 0

2 1 0.3
2 2 0.2
2 3 0.25
2 4 0
2 5 0
2 6 0

3 1 -1
3 2 0
3 3 0
3 4 1000000
3 5 0
3 6 0

4 1 0
4 2 -1
4 3 0
4 4 0
4 5 1000000
4 6 0

5 1 0
5 2 0
5 3 -1
5 4 0
5 5 0
5 6 1000000

6 1 0
6 2 0
6 3 0
6 4 1
6 5 1
6 6 1
;
